uniqueFollowCount,totalUnFollowCount,foursquareId,uniqueUnFollowCount,key,date,totalFollowCount
11,1,1759442,1,2010-12-19 | 1759442,2010-12-19T00:00:00,11
10,0,1759725,0,2010-12-19 | 1759725,2010-12-19T00:00:00,11
9,0,1760948,0,2010-12-19 | 1760948,2010-12-19T00:00:00,10
19,0,1769287,0,2010-12-19 | 1769287,2010-12-19T00:00:00,22
35,0,1772284,0,2010-12-19 | 1772284,2010-12-19T00:00:00,48
11,0,1781832,0,2010-12-19 | 1781832,2010-12-19T00:00:00,11
5,0,1837066,0,2010-12-19 | 1837066,2010-12-19T00:00:00,5
52,0,1838040,0,2010-12-19 | 1838040,2010-12-19T00:00:00,68
20,0,1839337,0,2010-12-19 | 1839337,2010-12-19T00:00:00,21
16,0,1868764,0,2010-12-19 | 1868764,2010-12-19T00:00:00,16
14,0,1870591,0,2010-12-19 | 1870591,2010-12-19T00:00:00,15
17,0,1883093,0,2010-12-19 | 1883093,2010-12-19T00:00:00,18
26,0,1942924,0,2010-12-19 | 1942924,2010-12-19T00:00:00,27
27,0,1957543,0,2010-12-19 | 1957543,2010-12-19T00:00:00,33
9,0,1968156,0,2010-12-19 | 1968156,2010-12-19T00:00:00,11
23,0,1975808,0,2010-12-19 | 1975808,2010-12-19T00:00:00,24
8,0,202873,0,2010-12-19 | 202873,2010-12-19T00:00:00,8
5,0,203469,0,2010-12-19 | 203469,2010-12-19T00:00:00,5
26,0,2040628,0,2010-12-19 | 2040628,2010-12-19T00:00:00,28
21,0,2068754,0,2010-12-19 | 2068754,2010-12-19T00:00:00,24
20,0,2070299,0,2010-12-19 | 2070299,2010-12-19T00:00:00,21
10,0,2089643,0,2010-12-19 | 2089643,2010-12-19T00:00:00,12
12,0,2094395,0,2010-12-19 | 2094395,2010-12-19T00:00:00,14
11,0,2109233,0,2010-12-19 | 2109233,2010-12-19T00:00:00,11
41,0,2111540,0,2010-12-19 | 2111540,2010-12-19T00:00:00,55
15,0,211360,0,2010-12-19 | 211360,2010-12-19T00:00:00,15
12,0,2234652,0,2010-12-19 | 2234652,2010-12-19T00:00:00,14
30,0,226060,0,2010-12-19 | 226060,2010-12-19T00:00:00,41
12,0,2270881,0,2010-12-19 | 2270881,2010-12-19T00:00:00,14
12,0,2276914,0,2010-12-19 | 2276914,2010-12-19T00:00:00,12
13,0,2277218,0,2010-12-19 | 2277218,2010-12-19T00:00:00,14
11,0,2295370,0,2010-12-19 | 2295370,2010-12-19T00:00:00,11
20,0,2327413,0,2010-12-19 | 2327413,2010-12-19T00:00:00,21
8,0,2331531,0,2010-12-19 | 2331531,2010-12-19T00:00:00,9
29,0,2351118,0,2010-12-19 | 2351118,2010-12-19T00:00:00,31
16,0,2356962,0,2010-12-19 | 2356962,2010-12-19T00:00:00,19
15,0,2371486,0,2010-12-19 | 2371486,2010-12-19T00:00:00,17
20,0,2373886,0,2010-12-19 | 2373886,2010-12-19T00:00:00,21
9,0,2380335,0,2010-12-19 | 2380335,2010-12-19T00:00:00,9
4,0,238086,0,2010-12-19 | 238086,2010-12-19T00:00:00,4
59,0,2389346,0,2010-12-19 | 2389346,2010-12-19T00:00:00,74
16,0,2391786,0,2010-12-19 | 2391786,2010-12-19T00:00:00,16
2,0,2394891,0,2010-12-19 | 2394891,2010-12-19T00:00:00,2
45,0,2407305,0,2010-12-19 | 2407305,2010-12-19T00:00:00,58
35,0,2407886,0,2010-12-19 | 2407886,2010-12-19T00:00:00,50
17,0,2464309,0,2010-12-19 | 2464309,2010-12-19T00:00:00,17
19,0,2465098,0,2010-12-19 | 2465098,2010-12-19T00:00:00,19
16,0,2480128,0,2010-12-19 | 2480128,2010-12-19T00:00:00,17
7,0,2485038,0,2010-12-19 | 2485038,2010-12-19T00:00:00,7
10,0,2485302,0,2010-12-19 | 2485302,2010-12-19T00:00:00,11
7,0,2502541,0,2010-12-19 | 2502541,2010-12-19T00:00:00,7
31,0,2516801,0,2010-12-19 | 2516801,2010-12-19T00:00:00,38
20,0,2536922,0,2010-12-19 | 2536922,2010-12-19T00:00:00,20
15,0,2538162,0,2010-12-19 | 2538162,2010-12-19T00:00:00,15
20,0,2540211,0,2010-12-19 | 2540211,2010-12-19T00:00:00,21
41,0,2593535,0,2010-12-19 | 2593535,2010-12-19T00:00:00,59
7,0,2601108,0,2010-12-19 | 2601108,2010-12-19T00:00:00,7
13,0,2611536,0,2010-12-19 | 2611536,2010-12-19T00:00:00,13
9,0,2613788,0,2010-12-19 | 2613788,2010-12-19T00:00:00,10
7,0,261702,0,2010-12-19 | 261702,2010-12-19T00:00:00,7
17,0,2619087,0,2010-12-19 | 2619087,2010-12-19T00:00:00,20
20,0,2619393,0,2010-12-19 | 2619393,2010-12-19T00:00:00,20
15,0,2630325,0,2010-12-19 | 2630325,2010-12-19T00:00:00,15
11,0,2632562,0,2010-12-19 | 2632562,2010-12-19T00:00:00,13
14,0,2633456,0,2010-12-19 | 2633456,2010-12-19T00:00:00,15
18,0,2655682,0,2010-12-19 | 2655682,2010-12-19T00:00:00,21
25,0,2670635,0,2010-12-19 | 2670635,2010-12-19T00:00:00,27
15,0,268135,0,2010-12-19 | 268135,2010-12-19T00:00:00,16
6,0,268329,0,2010-12-19 | 268329,2010-12-19T00:00:00,10
20,0,2727581,0,2010-12-19 | 2727581,2010-12-19T00:00:00,22
19,0,2732144,0,2010-12-19 | 2732144,2010-12-19T00:00:00,23
7,0,2749170,0,2010-12-19 | 2749170,2010-12-19T00:00:00,7
17,0,275143,0,2010-12-19 | 275143,2010-12-19T00:00:00,22
12,0,2769138,0,2010-12-19 | 2769138,2010-12-19T00:00:00,13
9,0,2782786,0,2010-12-19 | 2782786,2010-12-19T00:00:00,9
22,0,2792304,0,2010-12-19 | 2792304,2010-12-19T00:00:00,23
13,0,2814921,0,2010-12-19 | 2814921,2010-12-19T00:00:00,15
14,0,2817466,0,2010-12-19 | 2817466,2010-12-19T00:00:00,15
2,0,282219,0,2010-12-19 | 282219,2010-12-19T00:00:00,2
21,0,2869391,0,2010-12-19 | 2869391,2010-12-19T00:00:00,23
3,0,2924803,0,2010-12-19 | 2924803,2010-12-19T00:00:00,3
19,0,2928225,0,2010-12-19 | 2928225,2010-12-19T00:00:00,20
6,0,2944196,0,2010-12-19 | 2944196,2010-12-19T00:00:00,6
17,0,2960181,0,2010-12-19 | 2960181,2010-12-19T00:00:00,18
