count,date,foursquareId,key
1107,2011-01-12T05:05:10,1828981,2011-01-12 | 1828981
1242,2011-01-12T05:05:10,1833119,2011-01-12 | 1833119
41568,2011-01-12T05:05:10,1837066,2011-01-12 | 1837066
1727,2011-01-12T05:05:10,1838040,2011-01-12 | 1838040
4746,2011-01-12T05:05:10,1839337,2011-01-12 | 1839337
3623,2011-01-12T05:05:10,1868764,2011-01-12 | 1868764
4461,2011-01-12T05:05:10,1870591,2011-01-12 | 1870591
2608,2011-01-12T05:05:10,1883093,2011-01-12 | 1883093
5098,2011-01-12T05:05:10,192903,2011-01-12 | 192903
2555,2011-01-12T05:05:10,1942924,2011-01-12 | 1942924
2068,2011-01-12T05:05:10,1957543,2011-01-12 | 1957543
4496,2011-01-12T05:05:10,1968156,2011-01-12 | 1968156
5050,2011-01-12T05:05:10,1975808,2011-01-12 | 1975808
7034,2011-01-12T05:05:10,202873,2011-01-12 | 202873
97495,2011-01-12T05:05:10,203469,2011-01-12 | 203469
3458,2011-01-12T05:05:10,2040628,2011-01-12 | 2040628
2734,2011-01-12T05:05:10,2068754,2011-01-12 | 2068754
3178,2011-01-12T05:05:10,2070299,2011-01-12 | 2070299
10976,2011-01-12T05:05:10,2089643,2011-01-12 | 2089643
4503,2011-01-12T05:05:10,2094395,2011-01-12 | 2094395
3508,2011-01-12T05:05:10,2109233,2011-01-12 | 2109233
1284,2011-01-12T05:05:10,2111540,2011-01-12 | 2111540
6944,2011-01-12T05:05:10,211360,2011-01-12 | 211360
1087,2011-01-12T05:05:10,2198695,2011-01-12 | 2198695
1051,2011-01-12T05:05:10,2199283,2011-01-12 | 2199283
3357,2011-01-12T05:05:10,2234652,2011-01-12 | 2234652
1614,2011-01-12T05:05:10,226060,2011-01-12 | 226060
3870,2011-01-12T05:05:10,2270881,2011-01-12 | 2270881
23561,2011-01-12T05:05:10,2276914,2011-01-12 | 2276914
3681,2011-01-12T05:05:10,2277218,2011-01-12 | 2277218
4560,2011-01-12T05:05:10,2295370,2011-01-12 | 2295370
4935,2011-01-12T05:05:10,2327413,2011-01-12 | 2327413
3825,2011-01-12T05:05:10,2331531,2011-01-12 | 2331531
3855,2011-01-12T05:05:10,2334572,2011-01-12 | 2334572
3179,2011-01-12T05:05:10,2351118,2011-01-12 | 2351118
4740,2011-01-12T05:05:10,2356962,2011-01-12 | 2356962
3771,2011-01-12T05:05:10,2371486,2011-01-12 | 2371486
2327,2011-01-12T05:05:10,2373886,2011-01-12 | 2373886
5256,2011-01-12T05:05:10,2380335,2011-01-12 | 2380335
23700,2011-01-12T05:05:10,238086,2011-01-12 | 238086
1414,2011-01-12T05:05:10,2389346,2011-01-12 | 2389346
2614,2011-01-12T05:05:10,2391786,2011-01-12 | 2391786
55558,2011-01-12T05:05:10,2394891,2011-01-12 | 2394891
1459,2011-01-12T05:05:10,2407305,2011-01-12 | 2407305
1313,2011-01-12T05:05:10,2407886,2011-01-12 | 2407886
4604,2011-01-12T05:05:10,2464309,2011-01-12 | 2464309
2285,2011-01-12T05:05:10,2465098,2011-01-12 | 2465098
3026,2011-01-12T05:05:10,2480128,2011-01-12 | 2480128
12255,2011-01-12T05:05:10,2485038,2011-01-12 | 2485038
5437,2011-01-12T05:05:10,2485302,2011-01-12 | 2485302
327,2011-01-12T05:05:10,2496522,2011-01-12 | 2496522
7348,2011-01-12T05:05:10,2502541,2011-01-12 | 2502541
6545,2011-01-12T05:05:10,2516801,2011-01-12 | 2516801
1273,2011-01-12T05:05:10,2517939,2011-01-12 | 2517939
2713,2011-01-12T05:05:10,2536922,2011-01-12 | 2536922
3552,2011-01-12T05:05:10,2538162,2011-01-12 | 2538162
3256,2011-01-12T05:05:10,2540211,2011-01-12 | 2540211
1367,2011-01-12T05:05:10,2593535,2011-01-12 | 2593535
4999,2011-01-12T05:05:10,2601108,2011-01-12 | 2601108
10322,2011-01-12T05:05:10,2611536,2011-01-12 | 2611536
3755,2011-01-12T05:05:10,2613788,2011-01-12 | 2613788
18850,2011-01-12T05:05:10,261702,2011-01-12 | 261702
13684,2011-01-12T05:05:10,2619087,2011-01-12 | 2619087
3617,2011-01-12T05:05:10,2619393,2011-01-12 | 2619393
5737,2011-01-12T05:05:10,2630325,2011-01-12 | 2630325
2502,2011-01-12T05:05:10,2632562,2011-01-12 | 2632562
3401,2011-01-12T05:05:10,2633456,2011-01-12 | 2633456
1366,2011-01-12T05:05:10,2655682,2011-01-12 | 2655682
1172,2011-01-12T05:05:10,2659319,2011-01-12 | 2659319
2833,2011-01-12T05:05:10,2670635,2011-01-12 | 2670635
49254,2011-01-12T05:05:10,268135,2011-01-12 | 268135
4251,2011-01-12T05:05:10,268329,2011-01-12 | 268329
2558,2011-01-12T05:05:10,2694567,2011-01-12 | 2694567
2279,2011-01-12T05:05:10,2727581,2011-01-12 | 2727581
1824,2011-01-12T05:05:10,2732144,2011-01-12 | 2732144
1225,2011-01-12T05:05:10,2748769,2011-01-12 | 2748769
13725,2011-01-12T05:05:10,2749170,2011-01-12 | 2749170
7457,2011-01-12T05:05:10,275143,2011-01-12 | 275143
2857,2011-01-12T05:05:10,2769138,2011-01-12 | 2769138
3102,2011-01-12T05:05:10,2782786,2011-01-12 | 2782786
2973,2011-01-12T05:05:10,2792304,2011-01-12 | 2792304
4325,2011-01-12T05:05:10,2814921,2011-01-12 | 2814921
2745,2011-01-12T05:05:10,2817466,2011-01-12 | 2817466
113438,2011-01-12T05:05:10,282219,2011-01-12 | 282219
3350,2011-01-12T05:05:10,2869391,2011-01-12 | 2869391
19630,2011-01-12T05:05:10,2924803,2011-01-12 | 2924803
3186,2011-01-12T05:05:10,2928225,2011-01-12 | 2928225
15594,2011-01-12T05:05:10,2944196,2011-01-12 | 2944196
1175,2011-01-12T05:05:10,2952252,2011-01-12 | 2952252
9293,2011-01-12T05:05:10,2960181,2011-01-12 | 2960181
3276,2011-01-12T05:05:10,2960903,2011-01-12 | 2960903
3117,2011-01-12T05:05:10,2962045,2011-01-12 | 2962045
2586,2011-01-12T05:05:10,2979747,2011-01-12 | 2979747
3253,2011-01-12T05:05:10,3049802,2011-01-12 | 3049802
6255,2011-01-12T05:05:10,305094,2011-01-12 | 305094
15699,2011-01-12T05:05:10,3052639,2011-01-12 | 3052639
23181,2011-01-12T05:05:10,3053550,2011-01-12 | 3053550
7574,2011-01-12T05:05:10,305584,2011-01-12 | 305584
3029,2011-01-12T05:05:10,3073406,2011-01-12 | 3073406
1008,2011-01-12T05:05:10,3073926,2011-01-12 | 3073926
4428,2011-01-12T05:05:10,3086675,2011-01-12 | 3086675
2772,2011-01-12T05:05:10,3091450,2011-01-12 | 3091450
3912,2011-01-12T05:05:10,3107021,2011-01-12 | 3107021
42065,2011-01-12T05:05:10,311503,2011-01-12 | 311503
12052,2011-01-12T05:05:10,3119396,2011-01-12 | 3119396
3751,2011-01-12T05:05:10,321287,2011-01-12 | 321287
20573,2011-01-12T05:05:10,3214207,2011-01-12 | 3214207
3027,2011-01-12T05:05:10,3225840,2011-01-12 | 3225840
1302,2011-01-12T05:05:10,3226418,2011-01-12 | 3226418
66028,2011-01-12T05:05:10,322698,2011-01-12 | 322698
2891,2011-01-12T05:05:10,3228004,2011-01-12 | 3228004
3187,2011-01-12T05:05:10,3230661,2011-01-12 | 3230661
1473,2011-01-12T05:05:10,3232774,2011-01-12 | 3232774
2776,2011-01-12T05:05:10,3244046,2011-01-12 | 3244046
3376,2011-01-12T05:05:10,3262181,2011-01-12 | 3262181
4111,2011-01-12T05:05:10,3300943,2011-01-12 | 3300943
2533,2011-01-12T05:05:10,3302010,2011-01-12 | 3302010
1260,2011-01-12T05:05:10,3318416,2011-01-12 | 3318416
3064,2011-01-12T05:05:10,3323786,2011-01-12 | 3323786
23696,2011-01-12T05:05:10,3343327,2011-01-12 | 3343327
17060,2011-01-12T05:05:10,3343338,2011-01-12 | 3343338
2933,2011-01-12T05:05:10,3348812,2011-01-12 | 3348812
2379,2011-01-12T05:05:10,3357729,2011-01-12 | 3357729
2632,2011-01-12T05:05:10,3358174,2011-01-12 | 3358174
17670,2011-01-12T05:05:10,3358242,2011-01-12 | 3358242
10348,2011-01-12T05:05:10,336012,2011-01-12 | 336012
50023,2011-01-12T05:05:10,337548,2011-01-12 | 337548
3135,2011-01-12T05:05:10,3377786,2011-01-12 | 3377786
1445,2011-01-12T05:05:10,3382567,2011-01-12 | 3382567
7078,2011-01-12T05:05:10,338793,2011-01-12 | 338793
872,2011-01-12T05:05:10,3392925,2011-01-12 | 3392925
1476,2011-01-12T05:05:10,3394354,2011-01-12 | 3394354
